"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A whitespace-only entry is rejected by the validator and never reaches the list.","291","addTodo_whitespaceOnly_doesNotCreate","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.CreateTodoTest","com.todomvc.tests.CreateTodoTest","addTodo_whitespaceOnly_doesNotCreate"
"Clicking outside the edit input commits the new value (blur is treated as save).","748","edit_blur_savesNewText","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.EditTodoTest","com.todomvc.tests.EditTodoTest","edit_blur_savesNewText"
"React escapes the payload into harmless text — no <script>, <img>, or <svg> nodes are injected.","12850","addTodo_xssPayload_renderedAsPlainText[2: payload=[javascript:alert(1)]]","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.XssEscapingTest","com.todomvc.tests.XssEscapingTest","addTodo_xssPayload_renderedAsPlainText[2: payload=[javascript:alert(1)]]"
"Clicking the checkbox marks the todo completed and removes it from the active counter.","738","toggle_activeTodo_marksCompleted","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.ToggleTodoTest","com.todomvc.tests.ToggleTodoTest","toggle_activeTodo_marksCompleted"
"'Clear completed' wipes only completed todos and hides the button afterwards.","1720","clearCompleted_removesCompletedOnly_hidesButtonWhenNone","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.ClearCompletedTest","com.todomvc.tests.ClearCompletedTest","clearCompleted_removesCompletedOnly_hidesButtonWhenNone"
"Sequential additions preserve insertion order — new todos appear at the bottom of the list.","646","addMultipleTodos_appearInOrder","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.CreateTodoTest","com.todomvc.tests.CreateTodoTest","addMultipleTodos_appearInOrder"
"After submitting a todo, the input is cleared so the next title can be typed straight away.","595","addTodo_clearsInputAfterSubmit","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.CreateTodoTest","com.todomvc.tests.CreateTodoTest","addTodo_clearsInputAfterSubmit"
"While on the Active filter, completing a todo removes it from view and decrements the counter.","798","toggleItem_onActiveFilter_disappearsImmediately","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.FilterTodoTest","com.todomvc.tests.FilterTodoTest","toggleItem_onActiveFilter_disappearsImmediately"
"A 300-character title is saved verbatim and the layout does not break.","313","addTodo_longText_savedVerbatim","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.CreateTodoTest","com.todomvc.tests.CreateTodoTest","addTodo_longText_savedVerbatim"
"'Completed' shows only completed todos, updates the URL and marks its link as selected.","1079","completedFilter_showsOnlyCompletedTodos","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.FilterTodoTest","com.todomvc.tests.FilterTodoTest","completedFilter_showsOnlyCompletedTodos"
"Typing a title and pressing Enter creates a single todo and updates the counter.","467","addTodo_singleItem_appearsInList","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.CreateTodoTest","com.todomvc.tests.CreateTodoTest","addTodo_singleItem_appearsInList"
"React escapes the payload into harmless text — no <script>, <img>, or <svg> nodes are injected.","426","addTodo_xssPayload_renderedAsPlainText[4: payload=[""><script>alert(1)</script>]]","","2026-06-26","passed","2026-06-26","","com.todomvc.tests.XssEscapingTest","com.todomvc.tests.XssEscapingTest","addTodo_xssPayload_renderedAsPlainText[4: payload=[""><script>alert(1)</script>]]"
